Virus GENBANK accession,Realm,Kingdom,Phylum,Class,Order,Family,Genus,Species
PP467602,Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Chiyouviridae,Wargodvirus,Wargodvirus xiongnu
MH447526,Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Alphalipothrixvirus,Alphalipothrixvirus beppuense
MK064563,Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Alphalipothrixvirus,Alphalipothrixvirus umijigokuense
AM087120,Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus acidiani
AF440571,Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus hveragerdiense
AM087122,Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus pezzuloense
AM087121,Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus pozzuoliense
AM087123,Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus puteoliense
EU545650,Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus uzonense
MK064564,Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Deltalipothrixvirus,Deltalipothrixvirus beppuense
AJ854042,Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Deltalipothrixvirus,Deltalipothrixvirus pozzuoliense
FM164764,Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Azorudivirus,Azorudivirus furnasense
MN876842,Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Hoswirudivirus,Hoswirudivirus acidiani
MN876843,Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Hoswirudivirus,Hoswirudivirus metallosphaerae
KP282675,Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Hoswirudivirus,Hoswirudivirus pozzuoliense
MN876841,Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Hoswirudivirus,Hoswirudivirus saccharolobi
KX712143,Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Icerudivirus,Icerudivirus gunnuhverense
AJ344259,Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Icerudivirus,Icerudivirus hveragerdiense
AJ414696,Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Icerudivirus,Icerudivirus kverkfjoellense
AJ875026,Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Itarudivirus,Itarudivirus pozzuoliense
MK064565,Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Japarudivirus,Japarudivirus beppuense
JX944686,Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Mexirudivirus,Mexirudivirus azufresense
KY744230,Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Usarudivirus,Usarudivirus acidum
KY744228,Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Usarudivirus,Usarudivirus aestus
KY744229,Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Usarudivirus,Usarudivirus caloris
KY744234,Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Usarudivirus,Usarudivirus dryadis
KY744233,Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Usarudivirus,Usarudivirus nymphense
KY744231,Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Rudiviridae,Usarudivirus,Usarudivirus yellowstonense
AJ567472,Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Ungulaviridae,Captovirus,Captovirus yellowstonense
PQ111746,Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Maximonvirales,Ahmunviridae,Yumkaaxvirus,Yumkaaxvirus juandefucaense
OP413840,Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Maximonvirales,Ahmunviridae,Yumkaaxvirus,Yumkaaxvirus pescaderoense
KU307456,Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Primavirales,Tristromaviridae,Alphatristromavirus,Alphatristromavirus pozzuoliense
MN876844,Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Primavirales,Tristromaviridae,Alphatristromavirus,Alphatristromavirus puteoliense
X14855,Adnaviria,Zilligvirae,Taleaviricota,Tokiviricetes,Primavirales,Tristromaviridae,Betatristromavirus,Betatristromavirus kraflaense
DQ665917,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Batravirus,Batravirus ranidallo1
DQ665652,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Batravirus,Batravirus ranidallo2
KX832224,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Batravirus,Batravirus ranidallo3
FJ940765,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Cyvirus,Cyvirus anguillidallo1
JQ815363,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Cyvirus,Cyvirus cyprinidallo1
JQ815364,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Cyvirus,Cyvirus cyprinidallo2
DQ657948,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Cyvirus,Cyvirus cyprinidallo3
FJ815289,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Ictavirus,Ictavirus acipenseridallo2
M75136,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Ictavirus,Ictavirus ictaluridallo1
MG271984,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Ictavirus,Ictavirus ictaluridallo2
AF023673,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Salmovirus,Salmovirus salmonidallo1
EU349274,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Salmovirus,Salmovirus salmonidallo2
EU349277,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Salmovirus,Salmovirus salmonidallo3
JX453331,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Malacoherpesviridae,Aurivirus,Aurivirus haliotidmalaco1
AY509253,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Malacoherpesviridae,Ostreavirus,Ostreavirus ostreidmalaco1
MK360902,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Iltovirus,Iltovirus cacatuidalpha2
JN596962,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Iltovirus,Iltovirus gallidalpha1
AY372243,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Iltovirus,Iltovirus psittacidalpha1
MK955929,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Iltovirus,Iltovirus psittacidalpha5
JF999965,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Mardivirus,Mardivirus anatidalpha1
KX589235,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Mardivirus,Mardivirus columbidalpha1
AF243438,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Mardivirus,Mardivirus gallidalpha2
HQ840738,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Mardivirus,Mardivirus gallidalpha3
AF291866,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Mardivirus,Mardivirus meleagridalpha1
LT608135,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Mardivirus,Mardivirus spheniscidalpha1
HQ878327,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Scutavirus,Scutavirus chelonidalpha5
KM924292,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Scutavirus,Scutavirus testudinidalpha3
KY385637,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus atelinealpha1
MT862163,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus bovinealpha2
AY714813,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus cercopithecinealpha2
JN555585,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus humanalpha1
JN561323,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus humanalpha2
JQ596859,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus leporidalpha4
AF533768,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus macacinealpha1
KY628968,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus macacinealpha2
KY628970,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus macacinealpha3
KT594769,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus macropodidalpha1
MT900475,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus macropodidalpha2
MT900474,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus macropodidalpha4
JQ360576,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus paninealpha3
DQ149153,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus papiinealpha2
AB825953,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus pteropodidalpha1
LC492974,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus pteropodidalpha2
HM625781,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus saimiriinealpha1
JX898220,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus bovinealpha1
AY261359,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus bovinealpha5
KU936049,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus bubalinealpha1
KT819633,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus canidalpha1
MG989243,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus caprinealpha1
AF275348,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus cercopithecinealpha9
MH036942,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus cervidalpha1
MH036943,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus cervidalpha2
MH036941,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus cervidalpha3
AY665713,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus equidalpha1
KM051845,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus equidalpha3
AF030027,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus equidalpha4
MT012704,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus equidalpha6
MF431611,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus equidalpha8
AP010838,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus equidalpha9
FJ478159,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus felidalpha1
X04370,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus humanalpha3
MF678601,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus monodontidalpha1
MH509440,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus phocidalpha1
JF797218,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus suidalpha1
FJ483970,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Cytomegalovirus,Cytomegalovirus aotinebeta1
JQ264772,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Cytomegalovirus,Cytomegalovirus cebinebeta1
FJ483968,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Cytomegalovirus,Cytomegalovirus cercopithecinebeta5
AY446894,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Cytomegalovirus,Cytomegalovirus humanbeta5
AY186194,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Cytomegalovirus,Cytomegalovirus macacinebeta3
JN227533,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Cytomegalovirus,Cytomegalovirus macacinebeta8
KR297253,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Cytomegalovirus,Cytomegalovirus mandrillinebeta1
AF480884,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Cytomegalovirus,Cytomegalovirus paninebeta2
AC090446,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Cytomegalovirus,Cytomegalovirus papiinebeta3
KR351281,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Cytomegalovirus,Cytomegalovirus papiinebeta4
FJ483967,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Cytomegalovirus,Cytomegalovirus saimiriinebeta4
GU305914,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Muromegalovirus,Muromegalovirus muridbeta1
AF232689,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Muromegalovirus,Muromegalovirus muridbeta2
JX867617,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Muromegalovirus,Muromegalovirus muridbeta8
KC462165,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Proboscivirus,Proboscivirus elephantidbeta1
MN373268,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Proboscivirus,Proboscivirus elephantidbeta3
KT832477,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Proboscivirus,Proboscivirus elephantidbeta4
KF921519,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Proboscivirus,Proboscivirus elephantidbeta5
KC503762,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Quwivirus,Quwivirus caviidbeta2
JQ805139,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Quwivirus,Quwivirus miniopteridbeta1
AF281817,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Quwivirus,Quwivirus tupaiidbeta1
AF037218,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Roseolovirus,Roseolovirus humanbeta7
X83413,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Roseolovirus,Roseolovirus humanbeta6a
AF157706,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Roseolovirus,Roseolovirus humanbeta6b
KU351741,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Roseolovirus,Roseolovirus macacinebeta9
KY355735,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Roseolovirus,Roseolovirus muridbeta3
KF017583,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Roseolovirus,Roseolovirus suidbeta2
KY965444,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Bossavirus,Bossavirus delphinidgamma1
AF319782,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Lymphocryptovirus,Lymphocryptovirus callitrichinegamma3
AJ581752,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Lymphocryptovirus,Lymphocryptovirus gorillinegamma1
AJ507799,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Lymphocryptovirus,Lymphocryptovirus humangamma4
AY037858,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Lymphocryptovirus,Lymphocryptovirus macacinegamma4
KP676001,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Lymphocryptovirus,Lymphocryptovirus macacinegamma10
MG471437,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Lymphocryptovirus,Lymphocryptovirus macacinegamma13
AJ581751,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Lymphocryptovirus,Lymphocryptovirus paninegamma1
AJ581750,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Lymphocryptovirus,Lymphocryptovirus papiinegamma1
AJ581753,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Lymphocryptovirus,Lymphocryptovirus ponginegamma2
AF005370,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Macavirus,Macavirus alcelaphinegamma1
KF274499,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Macavirus,Macavirus alcelaphinegamma2
KJ705001,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Macavirus,Macavirus bovinegamma6
AF283477,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Macavirus,Macavirus caprinegamma2
DQ083950,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Macavirus,Macavirus hippotraginegamma1
AY839756,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Macavirus,Macavirus ovinegamma2
AF478169,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Macavirus,Macavirus suidgamma3
AY170317,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Macavirus,Macavirus suidgamma4
AY170316,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Macavirus,Macavirus suidgamma5
MG452722,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Manticavirus,Manticavirus phascolarctidgamma1
MG452721,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Manticavirus,Manticavirus vombatidgamma1
MF385016,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Patagivirus,Patagivirus vespertilionidgamma3
U20824,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Percavirus,Percavirus equidgamma2
KM924295,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Percavirus,Percavirus equidgamma5
KT595939,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Percavirus,Percavirus felidgamma1
AF376034,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Percavirus,Percavirus mustelidgamma1
KP136799,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Percavirus,Percavirus phocidgamma3
LC333428,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Percavirus,Percavirus rhinolophidgamma1
KU220026,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Percavirus,Percavirus vespertilionidgamma1
M22036,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Rhadinovirus,Rhadinovirus atelinegamma2
AF083424,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Rhadinovirus,Rhadinovirus atelinegamma3
AF318573,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Rhadinovirus,Rhadinovirus bovinegamma4
MH932584,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Rhadinovirus,Rhadinovirus colobinegamma1
HQ221963,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Rhadinovirus,Rhadinovirus cricetidgamma2
AF148805,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Rhadinovirus,Rhadinovirus humangamma8
AF083501,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Rhadinovirus,Rhadinovirus macacinegamma5
KF703446,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Rhadinovirus,Rhadinovirus macacinegamma8
AY528864,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Rhadinovirus,Rhadinovirus macacinegamma11
KP265674,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Rhadinovirus,Rhadinovirus macacinegamma12
U97553,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Rhadinovirus,Rhadinovirus muridgamma4
GQ169129,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Rhadinovirus,Rhadinovirus muridgamma7
X64346,Duplodnaviria,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Rhadinovirus,Rhadinovirus saimiriinegamma2
PP497040,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Adrikavirales,Satyavativiridae,Vyasavirus,Vyasavirus brisbanense
PP079415,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autonotataviridae,Ceskevirus,Ceskevirus SB4
MW960043,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autonotataviridae,Maltophvirus,Maltophvirus BUCT609
MT951568,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autonotataviridae,Pazvirus,Pazvirus 31
KF626666,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autonotataviridae,Pazvirus,Pazvirus paz
MZ326858,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autonotataviridae,Ponderosavirus,Ponderosavirus pepon
MK903280,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Autographivirales,Autonotataviridae,Ponderosavirus,Ponderosavirus ponderosa
