Order	Family	Subfamily	Genus	Virus name (s)	Virus GENBANK accession	Baltimore Group	Virus sequence complete	Genetic code table	Taxonomic grouping
Ghabrivirales	Fusagraviridae		Fusagravirus	Fusarium graminearum dsRNA mycovirus 3	GQ140626	III	Complete genome	1	Fusagraviridae
Hypofuvirales	Fusariviridae		Alphafusarivirus	Aspergillus chevalieri fusarivirus 1	LC832446	IV	Complete genome	1	Fusariviridae
Hypofuvirales	Fusariviridae		Alphafusarivirus	Botryosphaeria dothidea fusarivirus 1	MN560974	IV	Complete genome	1	Fusariviridae
	Fuselloviridae		Alphafusellovirus	sulfolobus spindle-shaped virus 4	EU030938	I	Complete genome	1	Fuselloviridae
	Fuselloviridae		Alphafusellovirus	sulfolobus spindle-shaped virus 1	X07234	I	Complete genome	1	Fuselloviridae
	Fuxiviridae		Taijivirus	Bathyarchaeia bifangarchaeales fuxivirus 1	PP467601	I	Complete genome	1	Fuxiviridae
Tymovirales	Gammaflexiviridae		Gammaflexivirus	Entoleuca gammaflexivirus 1	MF375883	IV	Complete genome	1	Gammaflexiviridae
Tymovirales	Gammaflexiviridae		Gammaflexivirus	Pistacia-associated gammaflexivirus 1	MF375884	IV	Complete genome	1	Gammaflexiviridae
Gredzevirales	Gandrviridae		Atripovirus	CRESS virus sp. ctdb796	MH617332		Complete genome	1	Gandrviridae
Gredzevirales	Gandrviridae		Meliavirus	CRESS virus sp. ctin15	MN582096		Complete genome	1	Gandrviridae
Geplafuvirales	Geminiviridae		Becurtovirus	beet curly top Iran virus-A	EU273818		Complete genome	1	Geminiviridae
Geplafuvirales	Geminiviridae		Becurtovirus	beet curly top Iran virus-B	JX131633		Complete genome	1	Geminiviridae
Geplafuvirales	Genomoviridae		Gemycircularvirus	Genomoviridae sp. ctbi89	MK032723		Complete genome	1	Genomoviridae
Geplafuvirales	Genomoviridae		Gemycircularvirus	Alces alces faeces associated genomovirus MP84	MG641204		Complete genome	1	Genomoviridae
Geplafuvirales	Geplanaviridae		Acciovirus	Arizlama virus AZLM_678	MW697536		Complete genome	1	Geplanaviridae
Geplafuvirales	Geplanaviridae		Acciovirus	Odonata-associated circular virus-7	KM598390		Complete genome	1	Geplanaviridae
Ghabrivirales	Giardiaviridae		Giardiavirus	Giardia lamblia virus	L13218	III	Complete genome	1	Giardiaviridae
	Globuloviridae		Alphaglobulovirus	Thermoproteus tenax spherical virus 1	AY722806	I	Complete genome	1	Globuloviridae
	Globuloviridae		Alphaglobulovirus	Pyrobaculum spherical virus	AJ635161	I	Complete genome	1	Globuloviridae
Kirjokansivirales	Graaviviridae		Beejeyvirus	Halorubrum virus BJ1	AM419438	I	Complete genome	1	Graaviviridae
Kirjokansivirales	Graaviviridae		Ethicavirus	Danakil Halobacteriales tailed virus 3	PQ827555	I	Complete genome	1	Graaviviridae
Nidovirales	Gresnaviridae	Reternivirinae	Cyclophivirus	Guangdong greater green snake arterivirus	MG600023	IV	Coding-complete genome	1	Gresnaviridae
	Grimontviridae		Aquaneticvirus	Aeromonas phage APT65	OP491958	I	Complete genome	1	Grimontviridae
	Grimontviridae		Crifsvirus	Cronobacter phage A24	MW343794	I	Complete genome	1	Grimontviridae
Gokushovirales	Groupodiviridae		Mohgevirus	tortoise microvirus 100 100_SP_14	MK765653		Complete genome	1	Groupodiviridae
Gokushovirales	Groupodiviridae		Sehtuvirus	Eel River basin pequenovirus c22108	KP087956		Complete genome	1	Groupodiviridae
	Guelinviridae	Denniswatsonvirinae	Gregsiragusavirus	Clostridium phage CPD2	MH999279	I	Complete genome	1	Guelinviridae
	Guelinviridae	Denniswatsonvirinae	Gregsiragusavirus	Clostridium phage cpp	OQ737697	I	Complete genome	1	Guelinviridae
	Gulliviridae		Lemuelvirus	Danakil Nanohaloarchaeota tailed virus 1	PQ827565	I	Complete genome	1	Gulliviridae
Priklausovirales	Gulliviroviridae		Invirovirus	Lavidaviridae sp. IMG_VR_1276	OQ836152	I	Complete genome	1	Gulliviroviridae
	Guttaviridae		Betaguttavirus	Aeropyrum pernix ovoid virus 1	HE580237	I	Complete genome	1	Guttaviridae
Thumleimavirales	Hafunaviridae		Haloferacalesvirus	Halorubrum tailed virus 10	MZ334496	I	Complete genome	1	Hafunaviridae
Thumleimavirales	Hafunaviridae		Haloferacalesvirus	Halophage HF1	AY190604	I	Complete genome	1	Hafunaviridae
Salinicovirales	Halicoviridae		Ertavirus	Danakil Halobacteriales icosahedral virus 1	PQ827550	I	Complete genome	1	Halicoviridae
Kirjokansivirales	Haloferuviridae		Dpdavirus	Halorubrum tailed virus 29	MZ334526	I	Complete genome	1	Haloferuviridae
Kirjokansivirales	Haloferuviridae		Retbasiphovirus	Haloferax tailed virus 1	MG550112	I	Complete genome	1	Haloferuviridae
Thumleimavirales	Halomagnusviridae		Hagravirus	Halogranum tailed virus 1	KC292026	I	Complete genome	1	Halomagnusviridae
	Halspiviridae		Salterprovirus	His1 virus	AF191796	I	Complete genome	1	Halspiviridae
	Helgolandviridae		Leefvirus	Polaribacter phage Leef_1	MT732473	I	Complete genome	1	Helgolandviridae
Amarillovirales	Hepaciviridae		Orthohepacivirus	equine hepacivirus	KP325401	IV	Complete genome	1	Hepaciviridae
Amarillovirales	Hepaciviridae		Orthohepacivirus	hepatitis C virus genotype 1a	AF009606	IV	Complete genome	1	Hepaciviridae
Blubervirales	Hepadnaviridae		Avihepadnavirus	duck hepatitis B virus	X60213		Complete genome	1	Hepadnaviridae
Blubervirales	Hepadnaviridae		Avihepadnavirus	Ross's goose hepatitis B virus	M95589		Complete genome	1	Hepadnaviridae
Hepelivirales	Hepeviridae	Orthohepevirinae	Avihepevirus	little egret hepatitis E virus	KX589065	IV	Complete genome	1	Hepeviridae
Hepelivirales	Hepeviridae	Orthohepevirinae	Avihepevirus	avian hepatitis E virus	AY535004	IV	Complete genome	1	Hepeviridae
	Herelleviridae	Bastillevirinae	Agatevirus	Bacillus phage phiAGATE	JX238501	I	Complete genome	1	Herelleviridae
	Herelleviridae	Bastillevirinae	Agatevirus	Bacillus phage Bobb	KM051843	I	Complete genome	1	Herelleviridae
	Hirszfeldviridae		Ankaravirus	Acinetobacter phage Ab69	OR045356	I	Complete genome	1	Hirszfeldviridae
	Hirszfeldviridae		Beijingvirus	Acinetobacter phage vB_AbaM_IME284	MH853787	I	Complete genome	1	Hirszfeldviridae
	Hodgkinviridae	Kutznervirinae	Kozievirus	Microbacterium phage Kozie	OK040792	I	Complete genome	1	Hodgkinviridae
	Hodgkinviridae	Kutznervirinae	Kozievirus	Microbacterium phage MO526	OR941552	I	Complete genome	1	Hodgkinviridae
Pimascovirales	Hydriviridae		Alphahydrivirus	Siberian hydrivirus MAG1	OW988864	I	Complete genome	1	Hydriviridae
Hypofuvirales	Hypoviridae		Alphahypovirus	Cryphonectria hypovirus 2	L29010	IV	Complete genome	1	Hypoviridae
Hypofuvirales	Hypoviridae		Alphahypovirus	Bipolaris oryzae hypovirus 1	MH316122	IV	Complete genome	1	Hypoviridae
Lefavirales	Hytrosaviridae		Glossinavirus	Glossina pallidipes salivary gland hypertrophy virus	EF568108	I	Complete genome	1	Hytrosaviridae
Lefavirales	Hytrosaviridae		Muscavirus	Musca domestica salivary gland hypertrophy virus	EU522111	I	Complete genome	1	Hytrosaviridae
Picornavirales	Iflaviridae		Iflavirus	Acheta domesticus Iflavirus	MW281483	IV	Complete genome	1	Iflaviridae
Picornavirales	Iflaviridae		Iflavirus	deformed wing virus	AJ489744	IV	Complete genome	1	Iflaviridae
	Infernusviridae		Tanggwanvirus	archaeal virus JdFR002	PQ111741	I	Complete genome	1	Infernusviridae
Tubulavirales	Inoviridae		Abaestuovirus	Inoviridae sp. isolate ctbh8	MH617292		Complete genome	1	Inoviridae
Tubulavirales	Inoviridae		Aclydivirus	Inoviridae sp. rainbow trout isolate ctce6	MH617507		Complete genome	1	Inoviridae
Ghabrivirales	Inseviridae		Insevirus	Camponotus yamaokai virus	LC026053	III	Complete genome	1	Inseviridae
Ghabrivirales	Inseviridae		Insevirus	Australian Anopheles totivirus	MF073200	III	Complete genome	1	Inseviridae
Crassvirales	Intestiviridae	Churivirinae	Jahgtovirus	Crassvirales sp. isolate ctrhr9	BK035341	I	Complete genome	1	Intestiviridae
Crassvirales	Intestiviridae	Churivirinae	Jahgtovirus	Crassvirales sp. isolate ctv5c4	BK040584	I	Complete genome	1	Intestiviridae
Pimascovirales	Iridoviridae	Alphairidovirinae	Lymphocystivirus	lymphocystis disease virus 4	MN803438	I	Complete genome	1	Iridoviridae
Pimascovirales	Iridoviridae	Alphairidovirinae	Lymphocystivirus	lymphocystis disease virus 2; lymphocystis disease virus-China	AY380826	I	Complete genome	1	Iridoviridae
	Itzamnaviridae		Demiitzamnavirus	Methanophagales virus GBV303	OP880254	I	Complete genome	1	Itzamnaviridae
	Itzamnaviridae		Pletoitzamnavirus	Methanophagales virus PBV082	OP413839	I	Complete genome	1	Itzamnaviridae
	Jasonviridae		Obscurovirus	archaeal virus JdFR019	PQ111740	I	Complete genome	1	Jasonviridae
	Jeanschmidtviridae		Bajunvirus	Brevundimonas phage vB_BpoS-Bajun	ON529858	I	Complete genome	1	Jeanschmidtviridae
	Jeanschmidtviridae		Bertelyvirus	Caulobacter phage CcrBL9	MH588546	I	Complete genome	1	Jeanschmidtviridae
Methanobavirales	Kairosviridae		Nadirvirus	Methanobrevibacter tailed virus 2	BK063679	I	Complete genome	1	Kairosviridae
Saturnivirales	Kanorauviridae		Chinseivirus	sewage-associated circular DNA virus-24	KM821759		Complete genome	1	Kanorauviridae
Saturnivirales	Kanorauviridae		Chiunvirus	CRESS virus sp. hbl169cir1	MN928931		Complete genome	1	Kanorauviridae
Roodoodoovirales	Kidogoviridae		Rofluviavirus	Microviridae sp. rooFreshIt virus	BK061423		Complete genome	1	Kidogoviridae
Roodoodoovirales	Kidogoviridae		Romarinivirus	Microviridae sp. rooOceanUs1 virus	BK061422		Complete genome	1	Kidogoviridae
Rohanvirales	Kirkoviridae		Aglavirus	Po-Circo-like virus 21	JF713716		Complete genome	1	Kirkoviridae
Rohanvirales	Kirkoviridae		Denevirus	rodent circovirus RtRf-CV-1/YN2013	KY370025		Complete genome	1	Kirkoviridae
	Kleczkowskaviridae		Cuauhnahuacvirus	Rhizobium phage RHph_TM30	MN988521	I	Complete genome	1	Kleczkowskaviridae
	Kleczkowskaviridae		Cuauhnahuacvirus	Rhizobium phage RHph_Y65	MN988525	I	Complete genome	1	Kleczkowskaviridae
	Kolmioviridae		Daazvirus	Chinese fire belly newt virus 1	MN031239	V	Complete genome	1	Kolmioviridae
	Kolmioviridae		Dagazvirus	rhinotermitid virus 1	MK962759	V	Complete genome	1	Kolmioviridae
	Konodaiviridae		Akedovirus	Akedovirus sp. isolate 2520_67539	OP072332	I	Complete genome	1	Konodaiviridae
	Konodaiviridae		Satomivirus	Satomivirus sp. isolate 1827_77749	OP031061	I	Complete genome	1	Konodaiviridae
Magrovirales	Krittikaviridae		Velanvirus	magrovirus_E_01	PP497039	I	Complete genome	1	Krittikaviridae
	Kruegerviridae		Cafassovirus	Gordonia phage Aleemily	ON970578	I	Complete genome	1	Kruegerviridae
	Kruegerviridae		Cafassovirus	Gordonia phage Cafasso	MZ322021	I	Complete genome	1	Kruegerviridae
	Kunpengviridae		Dafengvirus	Bathyarchaeia jinwuousiales Kupengvirus 1	PP467599	I	Complete genome	1	Kunpengviridae
Pantevenvirales	Kyanoviridae		Acionnavirus	Synechococcus phage S-MbCM100	KF156340	I	Complete genome	1	Kyanoviridae
Pantevenvirales	Kyanoviridae		Ahtivirus	Synechococcus phage S-ShM2	GU071096	I	Complete genome	1	Kyanoviridae
Grandevirales	Lakviridae	Quadringentisvirinae	Hatfieldvirus	uncultured phage RVC_JS4_GC31	OR769222	I	Coding-complete genome	1	Lakviridae
Grandevirales	Lakviridae	Quingentivirinae	Amboselivirus	Prevotella phage Lak-B1	MK250020	I	Coding-complete genome	1	Lakviridae
Ghabrivirales	Lebotiviridae		Lebotivirus	Solenopsis midden virus	MH727531	III	Complete genome	1	Lebotiviridae
Methanobavirales	Leisingerviridae		Psimunavirus	Methanobacterium phage psiM2	AF065411	I	Complete genome	1	Leisingerviridae
Amoyvirales	Liberviridae		Largivirus	Liberibacter phage CLasMV1	CP045566		Complete genome	1	Liberviridae
Alpavirales	Lilleviridae		Algophervirus	tortoise microvirus 7 7_SP_42	MK765557		Complete genome	1	Lilleviridae
Alpavirales	Lilleviridae		Alnafnavirus	Microviridae sp. 1023-1801 virus	MG945680		Complete genome	1	Lilleviridae
	Lilliviridae		Mildendovirus	Danakil Nanohaloarchaeota tailed virus 2	PQ827566	I	Complete genome	1	Lilliviridae
	Lindbergviridae		Bcepfunavirus	Burkholderia phage BcepF1	EF153632	I	Complete genome	1	Lindbergviridae
	Lindbergviridae		Carpasinavirus	Xanthomonas phage Carpasina	MH059633	I	Complete genome	1	Lindbergviridae
Ligamenvirales	Lipothrixviridae		Alphalipothrixvirus	Sulfolobus filamentous virus 1	MH447526	I	Complete genome	1	Lipothrixviridae
Ligamenvirales	Lipothrixviridae		Betalipothrixvirus	Acidianus filamentous virus 3	AM087120	I	Complete genome	1	Lipothrixviridae
Mononegavirales	Lispiviridae		Acridvirus	Hángzhōu acrida cinerea lispivirus 1	MZ209654	V	Coding-complete genome	1	Lispiviridae
Mononegavirales	Lispiviridae		Aleyavirus	Bemisia tabaci arlivirus 1	MW256666	V	Coding-complete genome	1	Lispiviridae
Alpavirales	Litenviridae		Alcanfavirus	Microviridae sp. 2449-1602 virus	MG945253		Complete genome	1	Litenviridae
Alpavirales	Litenviridae		Alcanivirus	Microviridae sp. 3523-1602 virus	MG945572		Complete genome	1	Litenviridae
Alpavirales	Litilviridae		Alcafavirus	Microviridae sp. 1931-1706 virus	MG945515		Complete genome	1	Litilviridae
Alpavirales	Litilviridae		Alciorovirus	Microviridae sp. SD_HF_66 virus	MH572526		Complete genome	1	Litilviridae
	Lomiviridae		Gomizavirus	Danakil Nanohaloarchaeota spindle-shaped virus 2	PQ827564	I	Complete genome	1	Lomiviridae
	Lomiviridae		Gomizavirus	Danakil Nanohaloarchaeota spindle-shaped virus 1	PQ827563	I	Complete genome	1	Lomiviridae
	Ludisviridae		Ludisvirus	Porphyromonas phage phage005b_ATCC49417	PP754928	I	Complete genome	1	Ludisviridae
	Luriaviridae		Liaodongvirus	Acinetobacter phage vB_AbaM_D22	MT188223	I	Complete genome	1	Luriaviridae
	Luriaviridae		Liaodongvirus	Acinetobacter phage vB_AbaM_P1	OL960030	I	Complete genome	1	Luriaviridae
	Lutetiaviridae		Classicovirus	Methanonassiliicoccales tailed virus 2	BK063680	I	Complete genome	1	Lutetiaviridae
	Lutzviridae		Lutzvirus	Oceanotoga phage vB_OteS-UFV02	OR420712	I	Complete genome	1	Lutzviridae
	Madisaviridae		Clampvirus	Haloarcula hispanica tailed virus 1	KC292025	I	Complete genome	1	Madisaviridae
	Madisaviridae		Morpovirus	Danakil Halobacteriales tailed virus 4	PQ827556	I	Complete genome	1	Madisaviridae
	Madridviridae		Cepunavirus	Streptococcus phage Cp1	Z47794	I	Complete genome	1	Madridviridae
	Madridviridae		Cepunavirus	Streptococcus phage Cp-7	LK392619	I	Complete genome	1	Madridviridae
Saturnivirales	Mahapunaviridae		Acamarivirus	marmot associated feces virus 5	MT181545		Complete genome	1	Mahapunaviridae
Saturnivirales	Mahapunaviridae		Acamarivirus	bat circovirus BtMl-CV/QH2013	KJ641730		Complete genome	1	Mahapunaviridae
Herpesvirales	Malacoherpesviridae		Aurivirus	abalone herpesvirus; haliotid herpesvirus 1	JX453331	I	Complete genome	1	Malacoherpesviridae
Herpesvirales	Malacoherpesviridae		Ostreavirus	oyster herpesvirus; ostreid herpesvirus 1	AY509253	I	Complete genome	1	Malacoherpesviridae
	Mamonoviridae		Medusavirus	Acanthamoeba castellanii medusavirus J1	AP018495	I	Complete genome	1	Mamonoviridae
	Mamonoviridae		Medusavirus	Medusavirus stheno T3	MW018138	I	Complete genome	1	Mamonoviridae
	Mariniviridae		Pelagimarinivirus	Pelagibacter virus vSAG-37-F6	PQ625738	I	Complete genome	1	Mariniviridae
Picornavirales	Marnaviridae		Bacillarnavirus	Rhizosolenia setigera RNA virus 01	AB243297	IV	Complete genome	1	Marnaviridae
Picornavirales	Marnaviridae		Bacillarnavirus	Chaetoceros tenuissimus RNA virus 01	AB375474	IV	Complete genome	1	Marnaviridae
Pimascovirales	Marseilleviridae		Losannavirus	Lausannevirus	HQ113105	I	Complete genome	1	Marseilleviridae
Pimascovirales	Marseilleviridae		Losannavirus	Tunisvirus	KF483846	I	Complete genome	1	Marseilleviridae
Hepelivirales	Matonaviridae		Rubivirus	rubella virus	JN635296	IV	Complete genome	1	Matonaviridae
Hepelivirales	Matonaviridae		Rubivirus	rubella virus	M15240	IV	Complete genome	1	Matonaviridae
Halopanivirales	Matsushitaviridae		Hukuchivirus	Thermus phage IN93	AB063393	I	Complete genome	1	Matsushitaviridae
Halopanivirales	Matsushitaviridae		Hukuchivirus	Thermus phage P23-77	GQ403789	I	Complete genome	1	Matsushitaviridae
Lavidavirales	Maviroviridae		Mavirus	Maverick-related virus	HQ712116	I	Complete genome	1	Maviroviridae
Amoyvirales	Mazaviridae		Aminivirus	Ruegeria phage DSS3-P22	MF101922		Complete genome	1	Mazaviridae
Amoyvirales	Mazaviridae		Avacavirus	Microviridae sp. ctih52 virus	MH617327		Complete genome	1	Mazaviridae
	Mazoviaviridae		Dabrowskivirus	Alicyclobacillus myophage vB_Aac_IAFB_3916	OQ846916	I	Complete genome	1	Mazoviaviridae
Nidovirales	Medioniviridae	Medionivirinae	Bolenivirus	Botrylloides leachii nidovirus	MK956105	IV	Complete genome	1	Medioniviridae
Ghabrivirales	Megatotiviridae		Megatotivirus	Picoa juniperi megatotivirus 1	MT876189	III	Complete genome	1	Megatotiviridae
Imitervirales	Mesomimiviridae		Tethysvirus	Phaeocystis globosa virus PgV-16T	KC662249	I	Complete genome	1	Mesomimiviridae
Imitervirales	Mesomimiviridae		Tethysvirus	Chrysochromulina parva virus BQ2	MH918795	I	Complete genome	1	Mesomimiviridae
Nidovirales	Mesoniviridae	Hexponivirinae	Alphamesonivirus	Casuarina virus	KJ125489	IV	Complete genome	1	Mesoniviridae
Nidovirales	Mesoniviridae	Hexponivirinae	Alphamesonivirus	Nsé virus	JQ957874	IV	Complete genome	1	Mesoniviridae
Vinavirales	Mestraviridae		Anticleavirus	Rhodobacter phage Jorvik	OP588643	I	Complete genome	1	Mestraviridae
Vinavirales	Mestraviridae		Polymedevirus	Marinomonas phage YY	MH105080	I	Complete genome	1	Mestraviridae
	Mesyanzhinovviridae	Bradleyvirinae	Abidjanvirus	Pseudomonas phage vB_PaeS_PAO1_Ab18	LN610577	I	Complete genome	1	Mesyanzhinovviridae
	Mesyanzhinovviridae	Bradleyvirinae	Abidjanvirus	Pseudomonas phage vB_PaeS_PAO1_Ab19	LN610584	I	Complete genome	1	Mesyanzhinovviridae
Ortervirales	Metaviridae		Errantivirus	Ceratitis capitata Yoyo virus	U60529		Complete genome	1	Metaviridae
Ortervirales	Metaviridae		Errantivirus	Drosophila melanogaster 297 virus	X03431		Complete genome	1	Metaviridae
Imitervirales	Mimiviridae	Aliimimivirinae	Rheavirus	Cafeteria roenbergensis virus	GU244497	I	Complete genome	1	Mimiviridae
Imitervirales	Mimiviridae	Klosneuvirinae	Fadolivirus	Fadolivirus FV1/VV64	MT418680	I	Complete genome	1	Mimiviridae
Cryppavirales	Mitoviridae		Duamitovirus	Botrytis cinerea mitovirus 1	EF580100	IV	Complete genome	1	Mitoviridae
Cryppavirales	Mitoviridae		Duamitovirus	Botryosphaeria dothidea mitovirus 1	MT676452	IV	Complete genome	1	Mitoviridae
	Molycolviridae		Mollyvirus	Maribacter phage Colly_1	MT732450	I	Complete genome	1	Molycolviridae
	Molycolviridae		Mollyvirus	Maribacter phage Molly_1	MT732451	I	Complete genome	1	Molycolviridae
Ghabrivirales	Monocitiviridae		Monocitivirus	Ustilago maydis virus H1	U01059	III	Complete genome	1	Monocitiviridae
Nidovirales	Mononiviridae	Mononivirinae	Alphamononivirus	planarian secretory cell nidovirus	MH933735	IV	Complete genome	1	Mononiviridae
	Mtkvariviridae	Gordonclarkvirinae	Kuravirus	Escherichia phage vB_EcoP-CHD5UKE1	MZ234028	I	Complete genome	1	Mtkvariviridae
	Mtkvariviridae	Gordonclarkvirinae	Kuravirus	Escherichia phage vB_EcoP_EcoN5	MN715356	I	Complete genome	1	Mtkvariviridae
Hepelivirales	Mycoalphaviridae		Alphasclernavirus	Sclerotinia sclerotiorum mycoalphavirus virus 1	MT706025	IV	Complete genome	1	Mycoalphaviridae
Hepelivirales	Mycoalphaviridae		Alphasclernavirus	Sclerotinia sclerotiorum RNA virus L	EU779934	IV	Complete genome	1	Mycoalphaviridae
Mononegavirales	Mymonaviridae		Auricularimonavirus	Armillaria mellea negative strand RNA virus 2	BK014417	V	Complete genome	1	Mymonaviridae
Mononegavirales	Mymonaviridae		Auricularimonavirus	Auricularia heimuer negative-stranded RNA virus 1	MT259204	V	Complete genome	1	Mymonaviridae
Jingchuvirales	Myriaviridae		Myriavirus	Húběi myriapoda virus 8	KX884444	V	Complete genome	1	Myriaviridae
Nidovirales	Nanghoshaviridae	Chimanivirinae	Chimshavirus	Nanhai ghost shark arterivirus	MG600024	IV	Coding-complete genome	1	Nanghoshaviridae
Nidovirales	Nanhypoviridae	Hyporhamsavirinae	Sajorinivirus	Wuhan japanese halfbeak arterivirus	MG600020	IV	Coding-complete genome	1	Nanhypoviridae
Ducavirales	Nanicoviridae		Alevirus	Danakil Nanohaloarchaeota icosahedral virus 1	PQ827561	I	Complete genome	1	Nanicoviridae
Haloruvirales	Nanopleoviridae		Milaagivirus	Danakil Nanohaloarchaeota pleomorphic virus 1	PQ827562	I	Complete genome	1	Nanopleoviridae
	Naomviridae		Noahvirus	Bacteriophage DSS3_VP1	MN602266	I	Complete genome	1	Naomviridae
Wolframvirales	Narnaviridae		Narnavirus	Saccharomyces 23S RNA narnavirus	U90136	IV	Complete genome	1	Narnaviridae
Wolframvirales	Narnaviridae		Narnavirus	Saccharomyces 20S RNA narnavirus	AF039063	IV	Complete genome	1	Narnaviridae
Rivendellvirales	Naryaviridae		Arkenivirus	Peromfec virus RodF7_30	OM869657		Complete genome	1	Naryaviridae
Rivendellvirales	Naryaviridae		Beornivirus	Peromfec virus RodF8_96	OM869619		Complete genome	1	Naryaviridae
Jingchuvirales	Natareviridae		Charybdivirus	Wēnzhōu crab virus 3	KM817603	V	Complete genome	1	Natareviridae
Rohanvirales	Nenyaviridae		Angainorvirus	Entamoeba-associated CRESS DNA virus 4	MT293418		Complete genome	1	Nenyaviridae
Rohanvirales	Nenyaviridae		Cirilivirus	Circular ssDNA virus sp. cg6319	KU043415		Complete genome	1	Nenyaviridae
	Nimaviridae		Whispovirus	Chionoecetes opilio bacilliform virus	LC741431.1	I	Complete genome	1	Nimaviridae
	Nimaviridae		Whispovirus	white spot syndrome virus	AF332093	I	Complete genome	1	Nimaviridae
	Nipumfusiviridae		Baiafusivirus	Nitrosopumilaceae spindle-shaped virus NBC1	BK067786	I	Complete genome	1	Nipumfusiviridae
	Nipumfusiviridae		Baiafusivirus	Nitrosopumilaceae spindle-shaped virus NBD1	BK067787	I	Complete genome	1	Nipumfusiviridae
	Nixviridae		Dewhirstvirus	Porphyromonas phage phage016a_WW2866	BK068097	I	Complete genome	1	Nixviridae
	Nixviridae		Dewhirstvirus	Porphyromonas phage phage017a_JCVISC001	BK068098	I	Complete genome	1	Nixviridae
Picornavirales	Noraviridae		Orthonoravirus	Drosophila melanogaster Nora virus	GQ257737	IV	Complete genome	1	Noraviridae
Lefavirales	Nudiviridae		Alphanudivirus	Tomelloso virus	KY457233	I	Complete genome	1	Nudiviridae
Lefavirales	Nudiviridae		Alphanudivirus	Apis mellifera nudivirus	OR596894	I	Complete genome	1	Nudiviridae
Mononegavirales	Nyamiviridae		Crustavirus	Red rock lobster virus	PQ440166	V	Complete genome	1	Nyamiviridae
Mononegavirales	Nyamiviridae		Formivirus	Formica fusca virus 1	MH477287	V	Complete genome	1	Nyamiviridae
	Obscuriviridae		Cebaduodecimvirus	Cellulophaga phage phi12a:1	KC821623	II	Complete genome	1	Obscuriviridae
	Obscuriviridae		Cebaduodecimvirus	Cellulophaga phage phi12:2	KC821606	II	Complete genome	1	Obscuriviridae
Secretvirales	Occultatumviridae		Micisonovirus	tortoise microvirus 38 38_SP_76	MK765588		Complete genome	1	Occultatumviridae
Nidovirales	Olifoviridae	Gofosavirinae	Kukrinivirus	Hainan oligodon formosanus arterivirus	MG600022	IV	Coding-complete genome	1	Olifoviridae
Priklausovirales	Omnilimnoviroviridae		Panaquavirovirus	Qinghai Lake virophage	KJ854379	I	Complete genome	1	Omnilimnoviroviridae
Lineavirales	Oomyviridae		Nicoomyvirus	parvovirus NIH-CQV	KC617868	II	Complete genome	1	Oomyviridae
Ghabrivirales	Ootiviridae		Ootivirus	Pythium polare RNA virus 1	LC376044	III	Complete genome	1	Ootiviridae
Ghabrivirales	Ootiviridae		Ootivirus	Pythium splendens RNA virus 1	LC467965	III	Complete genome	1	Ootiviridae
	Orlajensenviridae	Pelczarvirinae	Bonaevitaevirus	Microbacterium phage BonaeVitae	MH045556	I	Complete genome	1	Orlajensenviridae
	Orlajensenviridae	Pelczarvirinae	Efekovirus	Microbacterium phage Efeko	MH825700	I	Complete genome	1	Orlajensenviridae
Pimascovirales	Orpheoviridae		Alphaorpheovirus	orpheovirus	LT906555	I	Complete genome	1	Orpheoviridae
Herpesvirales	Orthoherpesviridae	Alphaherpesvirinae	Iltovirus	cacatuid alphaherpesvirus 2	MK360902	I	Complete genome	1	Orthoherpesviridae
Herpesvirales	Orthoherpesviridae	Alphaherpesvirinae	Iltovirus	gallid alphaherpesvirus 1; infectious laryngotracheitis virus	JN596962	I	Complete genome	1	Orthoherpesviridae
Articulavirales	Orthomyxoviridae		Quaranjavirus	Araguari virus	KX670389	V	Complete genome	1	Orthomyxoviridae
Articulavirales	Orthomyxoviridae		Quaranjavirus	Tyulek (Tjuloc) virus	JQ928941	V	Complete genome	1	Orthomyxoviridae
Ghabrivirales	Orthototiviridae		Totivirus	Xanthophyllomyces dendrorhous virus L1B	JN997473	III	Complete genome	1	Orthototiviridae
Ghabrivirales	Orthototiviridae		Totivirus	red clover powdery mildew-associated totivirus 1	LC075485	III	Complete genome	1	Orthototiviridae
Reekeekeevirales	Osikeviridae		Nanosedivirus	Microviridae sp. reeSedAu virus	BK061430		Complete genome	1	Osikeviridae
Reekeekeevirales	Osikeviridae		Vastaquavirus	Microviridae sp. reeWastUs1 virus	BK061429		Complete genome	1	Osikeviridae
Ourlivirales	Ourmiaviridae		Epsilonourmiavirus	saffron associated botourmia-like virus	BK067260	IV	Complete genome	1	Ourmiaviridae
Gredzevirales	Ouroboviridae		Aretevirus	hermit crab associated circular virus I0085A5	KR528556		Complete genome	1	Ouroboviridae
Gredzevirales	Ouroboviridae		Aretevirus	marine snail associated circular virus I0084	KR528554		Complete genome	1	Ouroboviridae
	Ovaliviridae		Alphaovalivirus	Sulfolobus ellipsoid virus 1 isolate CR_L	MF144115	I	Complete genome	1	Ovaliviridae
	Pachyviridae		Bacelvirus	Cellulophaga phage phi46:3	KC821622	I	Complete genome	1	Pachyviridae
	Pachyviridae		Baltivirus	Cellulophaga phage phi13:2	KC821633	I	Complete genome	1	Pachyviridae
Tombendovirales	Pamosaviridae		Papanivirus	Panicum papanivirus 1	M17182	IV	Complete genome	1	Pamosaviridae
